GP surgery,Postcode,Latitude,Longitude,Easting,Northing
Pilgrims Way Surgery,DA1 1QY,51.440747,0.236942,555566,173679
Dr CJ Shimmins & Partners,DA1 1QY,51.440747,0.236942,555566,173679
Lowfield Medical Centre,DA1 1HP,51.441837,0.215568,554077,173755
Temple Hill Surgery,DA1 5ND,51.452866,0.230064,555047,175012
Ivy Bower Surgery,DA9 9NF,51.449121,0.280256,558547,174703
West Kingsdown,TN15 6EJ,51.341687,0.264537,557824,162723
The Wellcome Practice,DA1 2HA,51.445864,0.20707,553473,174185
Horsman's Place Surgery,DA1 2JP,51.442468,0.21498,554034,173824
Redwood Practice,DA1 2HA,51.445864,0.20707,553473,174185
Summerhouse Surgery,DA5 2AE,51.435952,0.171541,551037,173009
Swanley Medical Centre: The Hextable Site,BR8 7RB,51.409182,0.182999,551922,170056
Deveon Road Surgery,DA4 9AB,51.403711,0.2432,556127,169574
Braeside Surgery,DA4 0JU,51.376686,0.230454,555332,166542
Swanley Medical Centre: The Cedars Site,BR8 7AH,51.395873,0.173768,551324,168557
Swanley Medical Centre: The Oaks Site,BR8 7UP,51.395164,0.174166,551354,168479
Swanscombe Health Centre,DA10 0BF,51.442058,0.312097,560784,173987
Bean Village Surgery,DA2 8BS,51.424656,0.287339,559124,171998
Greenhithe Surgery,DA9 9EJ,51.450302,0.28931,559172,174854
Lamorna Surgery,DA12 5PY,51.427611,0.383254,565781,172539
Elmdene Surgery,DA9 9DB,51.446097,0.263181,557371,174330
Bennett Way Surgery,DA2 7JT,51.420223,0.254869,556882,171435
Fleet Surgery,DA11 8BZ,51.434831,0.343617,563000,173253
Castle Hill Surgery,DA10 1AD,51.437037,0.304015,560240,173411
The Shrubbery,DA11 8RD,51.433242,0.351118,563527,173093
Riverview Park,DA12 4RX,51.418962,0.395893,566691,171606
Rochester Road Surgery,DA12 2HU,51.435136,0.390423,566252,173392
Beaumont Drive Surgery,DA11 9NY,51.439395,0.354197,563719,173784
Pelham Medical Practice,DA11 0HN,51.440346,0.363225,564343,173910
St Gregory’s Medical Practice,DA12 4JW,51.427701,0.389445,566211,172563
Gravesend Medical Centre and Parrock Street Surgery,DA12 2EN,51.443933,0.370016,564802,174324
Springhead Health Group,DA11 8BZ,51.434831,0.343617,563000,173253
Old Road West Surgery,DA11 0LL,51.433655,0.367225,564645,173175
Oakfield Health Centre,DA12 5BW,51.420966,0.370754,564936,171772
Istead Rise Surgery,DA13 9LB,51.407055,0.352362,563707,170184
Shorne Village Surgery,DA12 3DY,51.415761,0.430344,569098,171329
Kent House Surgery,DA3 7QD,51.397818,0.300304,560119,169042
New Ash Green Surgery,DA3 8RH,51.366766,0.305269,560573,165600
Meopham Medical Centre,DA13 0AH,51.368901,0.359744,564357,165958
